id,kind,status,lean_declarations
tab:hierar,table,proved,VennDiagrams.FiniteExamples.e3_probability_table|VennDiagrams.FiniteExamples.e4_probability_table|VennDiagrams.FiniteExamples.eStar_probability_table
tab:MLE,table,proved,VennDiagrams.FiniteExamples.e3_mle_induced_table|VennDiagrams.FiniteExamples.eStar_mle_induced_table|VennDiagrams.FiniteExamples.hierarchical_mle_laws_differ
ex:incomparability-S-C,example,proved,VennDiagrams.FiniteExamples.pA_in_S_diff_C|VennDiagrams.FiniteExamples.pB_in_C_diff_S|VennDiagrams.Certification.PaperSignature.concrete_sufficiency_conditionality_incomparable|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pA_in_packedS|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pA_not_in_packedC|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pB_in_packedC|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pB_not_in_packedS|VennDiagrams.Certification.PaperSignature.packed_sufficiency_conditionality_incomparable
figure10,figure,proved,VennDiagrams.Certification.PaperSignature.concrete_sufficiency_conditionality_incomparable|VennDiagrams.Certification.PaperSignature.packed_sufficiency_conditionality_incomparable|VennDiagrams.reflexive_relations_share_identity|VennDiagrams.Certification.PaperSignature.evans2013_theorem7_packed|VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed|VennDiagrams.Certification.PaperSignature.packedFiniteSufficiencyRelation_lt_likelihoodRelation
LP_INTER,equation,defined,VennDiagrams.Preserves|VennDiagrams.likelihoodRelation|VennDiagrams.packedFiniteLikelihoodRelation
SP_INTER,equation,defined,VennDiagrams.Preserves|VennDiagrams.FiniteSufficient|VennDiagrams.FiniteMinimalSufficient|VennDiagrams.PackedFiniteStatistic|VennDiagrams.packedFiniteSufficiencyRelation
CP_INTER,equation,defined,VennDiagrams.Preserves|VennDiagrams.conditionalityRelation|VennDiagrams.finiteConditionalityPair|VennDiagrams.packedFiniteConditionalityRelation
BT0-Evans,equation,proved,VennDiagrams.birnbaum_semantics_iff_evans_closure
Class,section,section,VennDiagrams.Procedure|VennDiagrams.preservingClass
procedure,definition,proved,VennDiagrams.Certification.PaperSignature.definition_procedure_output|VennDiagrams.Procedure|VennDiagrams.output
thetaprocedure_estimatives,example,proved,VennDiagrams.maximumLikelihoodProcedure_preserves_likelihood|VennDiagrams.umvueOutput|VennDiagrams.packedUMVUEOutput|VennDiagrams.mem_packedUMVUEOutput_iff
MLE,equation,defined,VennDiagrams.maximizerSet|VennDiagrams.maximumLikelihoodProcedure
UMVUE,equation,defined,VennDiagrams.UnbiasedEstimator|VennDiagrams.IsUMVUE|VennDiagrams.umvueOutput|VennDiagrams.packedUMVUEOutput|VennDiagrams.mem_packedUMVUEOutput_iff
pvalue_and_posterior,example,proved,VennDiagrams.ParameterPartition|VennDiagrams.extendedLikelihoodRatio|VennDiagrams.lowerTailLRPValue_mem_Icc|VennDiagrams.packedLowerTailLRPValue|VennDiagrams.packedLowerTailLRPValue_mem_Icc|VennDiagrams.packedLowerTailLRPValueInUnitInterval|VennDiagrams.packedLowerTailLRPValueProcedure|VennDiagrams.lowerTailLRPValue_superuniform|VennDiagrams.lowerTailLRPValue_strict_rejection_bound
LR,equation,defined,VennDiagrams.extendedLikelihoodRatio|VennDiagrams.extendedLikelihoodRatio_zero_zero|VennDiagrams.extendedLikelihoodRatio_pos_div_zero
posterior-procedure,example,proved,VennDiagrams.posteriorProbability_mem_Icc_of_nonnegative_prior|VennDiagrams.posteriorProbability_eq_of_proportional|VennDiagrams.posteriorProcedure_preserves_likelihood|VennDiagrams.packedPosteriorProbability|VennDiagrams.packedPosteriorProcedure_preserves_likelihood
posterior_procedure,equation,defined,VennDiagrams.posteriorProcedure|VennDiagrams.packedPosteriorProbability|VennDiagrams.packedPosteriorProbability_val|VennDiagrams.packedPosteriorProcedure
posterior_function,equation,defined,VennDiagrams.posteriorMass|VennDiagrams.posteriorNormalizer
proportional_lik_posterior,equation,proved,VennDiagrams.posteriorNormalizer_eq_of_proportional|VennDiagrams.posteriorMass_eq_of_proportional|VennDiagrams.posteriorProbability_eq_of_proportional
Evans_proc,example,proved,VennDiagrams.Procedure
bayes-procedure,example,proved,VennDiagrams.positiveRay|VennDiagrams.bayesianInformationProcedure|VennDiagrams.bayesianInformationProcedure_preserves_likelihood
frequentist-procedure,example,proved,VennDiagrams.HasCoverage|VennDiagrams.confidenceProcedure|VennDiagrams.confidenceProcedure_output_nonempty|VennDiagrams.coverageProbability_eq_sum_indicator|VennDiagrams.packedConfidenceProcedure|VennDiagrams.mem_output_packedConfidenceProcedure_iff|VennDiagrams.packedConfidenceProcedure_output_nonempty
preserving,definition,proved,VennDiagrams.Certification.PaperSignature.definition_preserves_relation|VennDiagrams.Preserves|VennDiagrams.preservingClass
joint-preserving,definition,proved,VennDiagrams.Certification.PaperSignature.definition_joint_preservation|VennDiagrams.preservingClass|VennDiagrams.preserves_union_iff|VennDiagrams.preservingClass_union
BT1,theorem,proved,VennDiagrams.Certification.PaperSignature.theorem_BT1_procedure_classes|VennDiagrams.Certification.PaperSignature.evans2013_theorem7_packed|VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed|VennDiagrams.Certification.PaperSignature.packedFiniteSufficiencyRelation_lt_likelihoodRelation
figure2,figure,proved,VennDiagrams.Certification.PaperSignature.theorem_BT1_procedure_classes|VennDiagrams.Certification.PaperSignature.evans2013_theorem7_packed|VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed
preservs_S,example,proved,VennDiagrams.finite_neyman_fisher_factorization|VennDiagrams.extendedLikelihoodRatio_induced_of_finiteSufficient|VennDiagrams.lowerTailProbability_induced_of_finiteSufficient|VennDiagrams.lowerTailLRPValue_induced_of_finiteSufficient|VennDiagrams.packedLowerTailLRPValue_eq_reduced|VennDiagrams.packedLowerTailLRPValueProcedure_preserves_sufficiency|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e5_extendedLikelihoodRatio_x|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e5_extendedLikelihoodRatio_y|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e6_extendedLikelihoodRatio_u|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e6_extendedLikelihoodRatio_v|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e5_lowerTailRegion_x|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e6_lowerTailRegion_u|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e5_lowerTailLRPValue_x|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e6_lowerTailLRPValue_u|VennDiagrams.Certification.PaperSignature.PackedPValueExample.packedE5X_packedE6U_likelihood_related|VennDiagrams.Certification.PaperSignature.PackedPValueExample.packedLowerTailLRPValueProcedure_not_preserves_likelihood|VennDiagrams.Certification.PaperSignature.packed_e5_e6_lr_pvalue_separation|VennDiagrams.Certification.PaperSignature.PackedPValueExample.packedE5X_packedE6U_not_conditionality|VennDiagrams.Certification.PaperSignature.PackedPValueExample.packedE5X_packedE6U_not_sufficiency
tabla_exemplo,table,proved,VennDiagrams.FiniteExamples.e5_e6_probability_tables|VennDiagrams.FiniteExamples.e5_e6_normalized|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e5RealPmf_eq_ratCast|VennDiagrams.Certification.PaperSignature.PackedPValueExample.e6RealPmf_eq_ratCast
BT2,corollary,proved,VennDiagrams.Certification.PaperSignature.corollary_BT2_conditional_pairs|VennDiagrams.packedFiniteConditionalityClosure_eq_likelihoodRelation
figure3,figure,proved,VennDiagrams.Certification.PaperSignature.corollary_BT2_conditional_pairs|VennDiagrams.equivalenceClosure_eq_zigzagClosure|VennDiagrams.packedFiniteConditionalityClosure_eq_likelihoodRelation
BT3,corollary,proved,VennDiagrams.Certification.PaperSignature.corollary_BT3_joint_pairs|VennDiagrams.packedFiniteJointClosure_eq_likelihoodRelation
remarks,section,section,VennDiagrams.Certification.PaperSignature.theorem_BT1_procedure_classes|VennDiagrams.Certification.PaperSignature.evans2013_theorem7_packed|VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed|VennDiagrams.productProcedure_preserves_iff_of_nonempty
appendix,section,section,VennDiagrams.Certification.PaperSignature.lemma_FT_preservation_closure
bl:1,lemma,proved,VennDiagrams.Certification.PaperSignature.lemma_bl1_equivalence_closure
bl:3,lemma,proved,VennDiagrams.Certification.PaperSignature.lemma_bl3_disjoint_classes
lemma-a,lemma,proved,VennDiagrams.Certification.PaperSignature.lemma_a_preserving_classes
lemma-b,lemma,proved,VennDiagrams.Certification.PaperSignature.lemma_b_strict_antitone
FT,lemma,proved,VennDiagrams.Certification.PaperSignature.lemma_FT_preservation_closure
finite-closure-proof,paragraph,proved,VennDiagrams.Evans2013Construction.starPMF|VennDiagrams.Evans2013Construction.starModel|VennDiagrams.Evans2013Construction.starModel_all_effective|VennDiagrams.Evans2013Construction.inducedPMF_starBranch_zero|VennDiagrams.Evans2013Construction.inducedPMF_starFork_zero|VennDiagrams.Evans2013Construction.starBranch_surjective|VennDiagrams.Evans2013Construction.starFork_surjective|VennDiagrams.Evans2013Construction.bridgePMF|VennDiagrams.Evans2013Construction.bridgeModel_all_effective|VennDiagrams.Evans2013Construction.starPacked_conditions_to_original|VennDiagrams.Evans2013Construction.starPacked_conditions_to_bridge_of_scaled_eq|VennDiagrams.packedFiniteConditionalityClosure_eq_likelihoodRelation|VennDiagrams.packedFiniteJointClosure_eq_likelihoodRelation|VennDiagrams.Certification.PaperSignature.evans2013_four_step_chain_packed
reduced-stable-proof,paragraph,proved,VennDiagrams.packedFiniteReducedStableConditionalityRelation|VennDiagrams.ReducedStable.centralEvent_univ|VennDiagrams.ReducedStable.centralEvent_compl|VennDiagrams.ReducedStable.centralEvent_inter|VennDiagrams.ReducedStable.laminalCell_central|VennDiagrams.ReducedStable.laminalCell_eq_iff|VennDiagrams.ReducedStable.laminalCell_mass_pos|VennDiagrams.ReducedStable.laminalConditionalPMF_sum_one|VennDiagrams.ReducedStable.CentralEvent_map_equiv_iff|VennDiagrams.ReducedStable.laminalConditionalPMF_equiv|VennDiagrams.packedFiniteSufficiencyRelation_le_reducedStableConditionality|VennDiagrams.parameterFreeCoin_in_sufficiency_not_conditionality|VennDiagrams.Certification.PaperSignature.reduced_stable_not_le_conditionality
prose:finite-model-normalization,prose,defined,VennDiagrams.FiniteModel|VennDiagrams.effectiveSupport|VennDiagrams.effectiveSupport_nonempty
prose:finite-pmf-representation,prose,proved,VennDiagrams.FiniteModel|VennDiagrams.finiteProbabilityMeasures_eq_iff_singletonPMF
prose:inference-base-effective-outcome,prose,defined,VennDiagrams.InferenceBase|VennDiagrams.FiniteInferenceBase|VennDiagrams.FiniteInferenceBase.exists_likelihood_pos|VennDiagrams.PackedFiniteInferenceBase|VennDiagrams.PackedFiniteInferenceBase.asInferenceBase
prose:likelihood-positive-proportionality,prose,defined,VennDiagrams.Proportional|VennDiagrams.likelihoodRelation|VennDiagrams.packedFiniteLikelihoodRelation
prose:likelihood-equivalence,prose,proved,VennDiagrams.packedFiniteLikelihoodRelation|VennDiagrams.likelihoodRelation_isEquivalence
prose:canonical-minimal-sufficiency,prose,proved,VennDiagrams.FiniteSufficient|VennDiagrams.FiniteMinimalSufficient|VennDiagrams.LikelihoodFiberCriterion|VennDiagrams.finite_minimal_sufficiency_iff_likelihoodFiberCriterion|VennDiagrams.canonicalMinimalSufficient_isFiniteMinimalSufficient|VennDiagrams.PackedFiniteStatistic|VennDiagrams.packedCanonicalMinimalSufficientStatistic|VennDiagrams.packedFiniteSufficiencyRelation
prose:injective-minimal-relabel,prose,proved,VennDiagrams.injective_relabel_canonicalMinimalSufficient_isFiniteMinimalSufficient
prose:induced-model-normalization,prose,proved,VennDiagrams.inducedPMF_nonneg|VennDiagrams.inducedPMF_sum_one|VennDiagrams.inducedModel
prose:ancillary-common-law,prose,proved,VennDiagrams.ancillary_iff_exists_common_pmf
prose:constant-statistic-ancillary,prose,proved,VennDiagrams.ancillary_const
prose:conditionality-symmetric-reflexive,prose,proved,VennDiagrams.packedFiniteConditionalityRelation_reflexive|VennDiagrams.packedFiniteConditionalityRelation_symmetric|VennDiagrams.Certification.PaperSignature.packed_relation_structure_certificate
prose:conditionality-contained-in-likelihood,prose,proved,VennDiagrams.finiteDirectionalConditionalityPair_implies_proportional|VennDiagrams.packedFiniteConditionalityRelation_le_likelihoodRelation
prose:conditionality-not-transitive,prose,proved,VennDiagrams.conditionalityRelation_not_transitive_of_fork|VennDiagrams.FiniteExamples.concreteConditionality_not_transitive|VennDiagrams.Certification.PaperSignature.PackedRelationExample.packed_e0_conditionality_nontransitivity_witness|VennDiagrams.Certification.PaperSignature.packedFiniteConditionalityRelation_not_transitive
prose:conditional-models-normalized,prose,proved,VennDiagrams.FiniteExamples.conditional_models_normalized
prose:trivial-ancillary-u0,prose,proved,VennDiagrams.FiniteExamples.ancillary_e0GivenU0_iff_constant_on_effective_support
prose:trivial-ancillary-v0,prose,proved,VennDiagrams.FiniteExamples.ancillary_e0GivenV0_iff_constant_on_effective_support
prose:no-direct-conditioning-between-conditionals,prose,proved,VennDiagrams.FiniteExamples.no_direct_conditioning_u0_to_v0|VennDiagrams.FiniteExamples.no_direct_conditioning_v0_to_u0|VennDiagrams.Certification.PaperSignature.PackedRelationExample.no_direction_u0_to_v0|VennDiagrams.Certification.PaperSignature.PackedRelationExample.no_direction_v0_to_u0
prose:conditional-fork-witness,prose,proved,VennDiagrams.FiniteExamples.joint_directly_conditions_to_u0|VennDiagrams.FiniteExamples.joint_directly_conditions_to_v0|VennDiagrams.FiniteExamples.conditionality_nontransitivity_witness|VennDiagrams.Certification.PaperSignature.PackedRelationExample.packedE0_conditions_to_u0|VennDiagrams.Certification.PaperSignature.PackedRelationExample.packedE0_conditions_to_v0|VennDiagrams.Certification.PaperSignature.PackedRelationExample.packed_e0_conditionality_nontransitivity_witness
prose:e0-mle-values,prose,proved,VennDiagrams.FiniteExamples.displayed_e0_and_eT_mle_values|VennDiagrams.FiniteExamples.e0_mle_characterization|VennDiagrams.FiniteExamples.eT_mle_characterization
prose:e0-et-mle-laws,prose,proved,VennDiagrams.FiniteExamples.e0_mle_induced_table|VennDiagrams.FiniteExamples.eT_mle_induced_table|VennDiagrams.FiniteExamples.e0_eT_mle_laws_coincide
prose:conditional-mle-laws,prose,proved,VennDiagrams.FiniteExamples.conditional_u0_observed_mle|VennDiagrams.FiniteExamples.e0_conditional_u0_mle_laws_coincide
prose:hierarchical-normalization,prose,proved,VennDiagrams.FiniteExamples.hierarchical_models_normalized|VennDiagrams.FiniteExamples.hierarchical_models_strictly_positive
prose:selector-ancillary,prose,proved,VennDiagrams.FiniteExamples.selector_mass_table|VennDiagrams.FiniteExamples.selector_ancillary
prose:selector-conditioning,prose,proved,VennDiagrams.FiniteExamples.condition_on_selector_zero_is_e3|VennDiagrams.FiniteExamples.condition_on_selector_one_is_e4
prose:hierarchical-mles,prose,proved,VennDiagrams.FiniteExamples.hierarchical_observed_mles|VennDiagrams.FiniteExamples.hierarchical_mle_laws_differ|VennDiagrams.FiniteExamples.e3_mle_characterization|VennDiagrams.FiniteExamples.e4_mle_characterization|VennDiagrams.FiniteExamples.eStar_mle_characterization
prose:pA-sufficiency-witness,prose,proved,VennDiagrams.FiniteExamples.pA_likelihoods_proportional|VennDiagrams.FiniteExamples.pA_statistic_values_equal|VennDiagrams.Certification.PaperSignature.PackedRelationExample.mStatistic_isFiniteMinimalSufficient|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pA_in_packedS
prose:pB-positive-likelihood-scale,prose,proved,VennDiagrams.FiniteExamples.pB_exact_half_scaling|VennDiagrams.FiniteExamples.pB_positive_proportionality
prose:pB-minimal-partitions,prose,proved,VennDiagrams.FiniteExamples.e3_minimal_partition_fibers|VennDiagrams.FiniteExamples.eStar_minimal_partition_fibers|VennDiagrams.FiniteExamples.pB_minimal_partition_counts_differ|VennDiagrams.FiniteExamples.no_bijection_between_pB_minimal_partitions
prose:relations-incomparable,prose,proved,VennDiagrams.FiniteExamples.pA_in_S_diff_C|VennDiagrams.FiniteExamples.pB_in_C_diff_S|VennDiagrams.Certification.PaperSignature.concrete_sufficiency_conditionality_incomparable|VennDiagrams.Certification.PaperSignature.packed_sufficiency_conditionality_incomparable
prose:reflexive-relations-share-identity,prose,proved,VennDiagrams.reflexive_relations_share_identity
prose:evans-conditional-closure,prose,proved,VennDiagrams.packedFiniteConditionalityClosure_eq_likelihoodRelation|VennDiagrams.Certification.PaperSignature.evans2013_theorem7_packed
prose:evans-joint-closure,prose,proved,VennDiagrams.packedFiniteJointClosure_eq_likelihoodRelation|VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed
prose:evans-strict-sufficiency-inclusion,prose,proved,VennDiagrams.packedFiniteSufficiencyRelation_le_likelihoodRelation|VennDiagrams.Certification.PaperSignature.packedFiniteSufficiencyRelation_lt_likelihoodRelation
prose:evans-strict-joint-inclusion,prose,proved,VennDiagrams.Certification.PaperSignature.PackedPValueExample.packedE5X_packedE6U_joint_strict_witness|VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed
prose:evans-raw-equalities-false,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_theorem7_packed|VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed
prose:evans-four-step-conditionality-chain,prose,proved,VennDiagrams.Evans2013Construction.starPacked_conditions_to_original|VennDiagrams.Evans2013Construction.starPacked_conditions_to_bridge_of_scaled_eq|VennDiagrams.packedFiniteConditionalityClosure_eq_likelihoodRelation|VennDiagrams.Certification.PaperSignature.evans2013_four_step_chain_packed
prose:closure-is-equivalence,prose,proved,VennDiagrams.equivalenceClosure_isEquivalence|VennDiagrams.equivalenceClosure_minimal
prose:closure-monotonicity,prose,proved,VennDiagrams.equivalenceClosure_mono|VennDiagrams.equivalenceClosure_relationUnion_le
prose:closure-union-recovery,prose,proved,VennDiagrams.equivalenceClosure_relationUnion_eq_of_left|VennDiagrams.packedFiniteJointClosure_eq_likelihoodRelation
prose:procedure-as-binary-relation,prose,defined,VennDiagrams.Procedure|VennDiagrams.output
prose:function-graph-procedure,prose,proved,VennDiagrams.graphProcedure|VennDiagrams.graphProcedure_unique_outputs|VennDiagrams.exists_function_of_unique_outputs
prose:preserving-class-nonempty,prose,proved,VennDiagrams.preservingClass_nonempty
prose:preservation-antitone,prose,proved,VennDiagrams.preservingClass_antitone
prose:joint-preservation-intersection,prose,proved,VennDiagrams.preserves_union_iff|VennDiagrams.preservingClass_union
prose:preservation-equivalence-closure,prose,proved,VennDiagrams.preserves_equivalenceClosure_iff|VennDiagrams.preservingClass_equivalenceClosure
prose:strict-preservation-inclusion,prose,proved,VennDiagrams.preservingClass_strict_antitone
prose:preserving-classes-determine-closure,prose,proved,VennDiagrams.preservingClass_eq_iff_equivalenceClosure_eq
prose:finite-mle-nonempty,prose,proved,VennDiagrams.maximizerSet_nonempty_of_finite
prose:mle-preserves-likelihood,prose,proved,VennDiagrams.maximizerSet_eq_of_proportional|VennDiagrams.maximumLikelihoodProcedure_preserves_likelihood
prose:unbiased-estimator,prose,defined,VennDiagrams.expectation|VennDiagrams.UnbiasedEstimator|VennDiagrams.unbiasedEstimators
prose:umvue,prose,defined,VennDiagrams.meanSquaredError|VennDiagrams.IsUMVUE|VennDiagrams.umvueCandidates|VennDiagrams.umvueOutput|VennDiagrams.packedUMVUEOutput|VennDiagrams.mem_packedUMVUEOutput_iff
prose:umvue-output-members-unbiased,prose,proved,VennDiagrams.umvueCandidate_unbiased
prose:parameter-partition,prose,defined,VennDiagrams.ParameterPartition|VennDiagrams.ParameterPartition.mem_null_or_alternative|VennDiagrams.ParameterPartition.not_mem_alternative_of_mem_null
prose:extended-lr-zero-conventions,prose,proved,VennDiagrams.extendedLikelihoodRatio_zero_zero|VennDiagrams.extendedLikelihoodRatio_pos_div_zero|VennDiagrams.extendedLikelihoodRatio_of_denominator_pos
prose:lr-pvalue-range,prose,proved,VennDiagrams.lowerTailLRPValue_nonneg|VennDiagrams.lowerTailLRPValue_le_one|VennDiagrams.lowerTailLRPValue_mem_Icc|VennDiagrams.packedLowerTailLRPValue_mem_Icc|VennDiagrams.packedLowerTailLRPValueInUnitInterval
prose:posterior-denominator-positive,prose,proved,VennDiagrams.posteriorNormalizer_pos_of_positive_prior|VennDiagrams.FiniteInferenceBase.posteriorNormalizer_pos|VennDiagrams.packedPosteriorNormalizer_pos_of_positive_prior
prose:posterior-is-probability,prose,proved,VennDiagrams.sum_posteriorMass_eq_one|VennDiagrams.posteriorProbability_mem_Icc_of_nonnegative_prior|VennDiagrams.packedPosteriorProbability
prose:posterior-preserves-likelihood,prose,proved,VennDiagrams.posteriorProcedure_preserves_likelihood|VennDiagrams.packedPosteriorProcedure_preserves_likelihood
prose:bayesian-information-preserves-likelihood,prose,proved,VennDiagrams.positiveRay_eq_of_proportional|VennDiagrams.bayesianInformationProcedure_preserves_likelihood
prose:confidence-coverage,prose,proved,VennDiagrams.coverageProbability_nonneg|VennDiagrams.coverageProbability_le_one|VennDiagrams.fullConfidenceRegion_hasCoverage|VennDiagrams.confidenceProcedure_output_nonempty|VennDiagrams.coverageProbability_eq_sum_indicator|VennDiagrams.packedConfidenceProcedure|VennDiagrams.mem_output_packedConfidenceProcedure_iff|VennDiagrams.packedConfidenceProcedure_output_nonempty
prose:relation-valued-procedures-not-functions,prose,defined,VennDiagrams.Procedure|VennDiagrams.output
prose:lr-transport-under-sufficiency,prose,proved,VennDiagrams.extendedLikelihoodRatio_eq_of_proportional|VennDiagrams.extendedLikelihoodRatio_induced_of_finiteSufficient|VennDiagrams.lowerTailProbability_induced_of_finiteSufficient|VennDiagrams.lowerTailLRPValue_induced_of_finiteSufficient|VennDiagrams.extended_lr_region_and_pvalue_transport|VennDiagrams.PackedFiniteStatistic.reducedPValue|VennDiagrams.packedLowerTailLRPValue_eq_reduced|VennDiagrams.packedLowerTailLRPValueProcedure_preserves_sufficiency
prose:pvalue-likelihood-counterexample,prose,proved,VennDiagrams.FiniteExamples.observed_e5_e6_positive_proportionality|VennDiagrams.FiniteExamples.exact_lr_p_values|VennDiagrams.FiniteExamples.proportional_likelihoods_but_different_p_values|VennDiagrams.Certification.PaperSignature.packed_e5_e6_lr_pvalue_separation
prose:componentwise-composite-preservation,prose,proved,VennDiagrams.productProcedure_preserves|VennDiagrams.productProcedure_preserves_iff_of_nonempty
prose:conditional-preservation-is-likelihood-preservation,prose,proved,VennDiagrams.conditional_preserving_eq_likelihood_preserving|VennDiagrams.packedFiniteConditionalityClosure_eq_likelihoodRelation
prose:joint-preservation-is-likelihood-preservation,prose,proved,VennDiagrams.joint_preserving_eq_likelihood_preserving|VennDiagrams.packedFiniteJointClosure_eq_likelihoodRelation
prose:equality-propagates-on-chains,prose,proved,VennDiagrams.Certification.PaperSignature.lemma_FT_preservation_closure
prose:listed-initial-likelihood-pairs,prose,proved,VennDiagrams.FiniteExamples.six_listed_initial_L_memberships
prose:listed-initial-sufficiency-pairs,prose,proved,VennDiagrams.Certification.PaperSignature.PackedRelationExample.six_listed_initial_packedS_memberships
prose:pA-not-conditionality,prose,proved,VennDiagrams.FiniteExamples.pA_not_in_comparisonConditionality|VennDiagrams.FiniteExamples.pA_in_S_diff_C|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pA_in_packedS|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pA_not_in_packedC
prose:pB-conditional-not-sufficient,prose,proved,VennDiagrams.FiniteExamples.pB_in_comparisonConditionality|VennDiagrams.FiniteExamples.pB_not_in_comparisonSufficiency|VennDiagrams.FiniteExamples.pB_in_C_diff_S|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pB_in_packedC|VennDiagrams.Certification.PaperSignature.PackedRelationExample.pB_not_in_packedS
prose:symmetrization-does-not-change-closure,prose,proved,VennDiagrams.equivalenceClosure_conditionalityRelation
prose:finite-factorization-and-lr-reduction,prose,proved,VennDiagrams.finite_neyman_fisher_factorization|VennDiagrams.finite_minimal_sufficiency_iff_likelihoodFiberCriterion|VennDiagrams.lowerTailLRPValue_induced_of_finiteSufficient|VennDiagrams.lowerTailLRPValue_induced_of_finiteMinimalSufficient|VennDiagrams.packedLowerTailLRPValue_eq_reduced|VennDiagrams.Certification.PaperSignature.finite_sufficiency_and_lr_certificate
